instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL,npu_cache_hit,storage_cache_hit,prefix_cache_hit
0,38,meta-llama/Llama-3.1-8B,1065,1110,4497903286,6172853313,1674950027,14739084,216827485,33139148,"[133758259, 28863169, 28863169, 31789391, 31836662, 29746020, 29746020, 33588864, 31714284, 29995136, 29995136, 54546487, 30103263, 33291602, 30353917, 30294699, 30294699, 30294699, 30294699, 30294699, 30103263, 30103263, 30103263, 30103263, 30103263, 30103263, 30103263, 29995136, 29995136, 29995136, 29995136, 29995136, 29995136, 29995136, 29815577, 29815577, 29815577, 29815577, 29815577, 29815577, 29815577, 29815577, 29746020, 29498239]",0,0,0
0,4,meta-llama/Llama-3.1-8B,14,140,1587870262,6259442820,4671572558,10788386,37665411,37071257,"[28462267, 25051943, 25061799, 25061799, 25061799, 25061799, 25061799, 25061799, 26779056, 25339920, 25354128, 31347686, 25221007, 25221007, 25221007, 25221007, 91664990, 25511716, 25511716, 25511716, 25511716, 25511716, 25511716, 25511716, 25511716, 25511716, 25511716, 39558171, 25739209, 25739209, 25739209, 25739209, 25739209, 25739209, 27606866, 210302916, 31216492, 74835607, 32100478, 212507276, 90461887, 30595009, 27217844, 27217844, 188342287, 41493343, 56459222, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 30768205, 28271816, 28271816, 28107517, 27761139, 27761139, 27761139, 27761139, 27761139, 27761139, 27761139, 27761139, 30589258, 28107517, 28107517, 28107517, 28107517, 28107517, 30000614, 62272969, 28421924, 28193277, 202088401, 133758259, 28863169, 28863169, 31789391, 31836662, 29746020, 29746020, 33588864, 31714284, 29995136, 29995136, 54546487, 30103263, 33291602, 30353917, 30294699, 30294699, 30294699, 30294699, 30294699, 30103263, 30103263, 30103263, 30103263, 30103263, 30103263, 30103263, 29995136, 29995136, 29995136, 29995136, 29995136, 29995136, 29995136, 29815577, 29815577, 29815577, 29815577, 29815577, 29815577, 29815577, 29815577, 29746020, 29498239, 28863169, 28863169, 28863169]",0,0,0
0,27,meta-llama/Llama-3.1-8B,955,1051,3322894048,6692569890,3369675842,21069241,209411528,33265940,"[41493343, 56459222, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 30768205, 28271816, 28271816, 28107517, 27761139, 27761139, 27761139, 27761139, 27761139, 27761139, 27761139, 27761139, 30589258, 28107517, 28107517, 28107517, 28107517, 28107517, 30000614, 62272969, 28421924, 28193277, 202088401, 133758259, 28863169, 28863169, 31789391, 31836662, 29746020, 29746020, 33588864, 31714284, 29995136, 29995136, 54546487, 30103263, 33291602, 30353917, 30294699, 30294699, 30294699, 30294699, 30294699, 30103263, 30103263, 30103263, 30103263, 30103263, 30103263, 30103263, 29995136, 29995136, 29995136, 29995136, 29995136, 29995136, 29995136, 29815577, 29815577, 29815577, 29815577, 29815577, 29815577, 29815577, 29815577, 29746020, 29498239, 28863169, 28863169, 28863169, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138]",0,0,0
0,47,meta-llama/Llama-3.1-8B,181,255,5130161078,7352216859,2222055781,24465803,79012290,29356760,"[30103263, 33291602, 30353917, 30294699, 30294699, 30294699, 30294699, 30294699, 30103263, 30103263, 30103263, 30103263, 30103263, 30103263, 30103263, 29995136, 29995136, 29995136, 29995136, 29995136, 29995136, 29995136, 29815577, 29815577, 29815577, 29815577, 29815577, 29815577, 29815577, 29815577, 29746020, 29498239, 28863169, 28863169, 28863169, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303]",0,0,0
0,23,meta-llama/Llama-3.1-8B,91,216,3013730478,7409219743,4395489265,154740227,245202114,33470057,"[30595009, 27217844, 27217844, 188342287, 41493343, 56459222, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 30768205, 28271816, 28271816, 28107517, 27761139, 27761139, 27761139, 27761139, 27761139, 27761139, 27761139, 27761139, 30589258, 28107517, 28107517, 28107517, 28107517, 28107517, 30000614, 62272969, 28421924, 28193277, 202088401, 133758259, 28863169, 28863169, 31789391, 31836662, 29746020, 29746020, 33588864, 31714284, 29995136, 29995136, 54546487, 30103263, 33291602, 30353917, 30294699, 30294699, 30294699, 30294699, 30294699, 30103263, 30103263, 30103263, 30103263, 30103263, 30103263, 30103263, 29995136, 29995136, 29995136, 29995136, 29995136, 29995136, 29995136, 29815577, 29815577, 29815577, 29815577, 29815577, 29815577, 29815577, 29815577, 29746020, 29498239, 28863169, 28863169, 28863169, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28501442, 28501442]",0,0,0
0,34,meta-llama/Llama-3.1-8B,15,130,4170788537,7892361091,3721572554,21838206,52427464,32185483,"[28107517, 28107517, 28107517, 28107517, 28107517, 30000614, 62272969, 28421924, 28193277, 202088401, 133758259, 28863169, 28863169, 31789391, 31836662, 29746020, 29746020, 33588864, 31714284, 29995136, 29995136, 54546487, 30103263, 33291602, 30353917, 30294699, 30294699, 30294699, 30294699, 30294699, 30103263, 30103263, 30103263, 30103263, 30103263, 30103263, 30103263, 29995136, 29995136, 29995136, 29995136, 29995136, 29995136, 29995136, 29815577, 29815577, 29815577, 29815577, 29815577, 29815577, 29815577, 29815577, 29746020, 29498239, 28863169, 28863169, 28863169, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28501442, 28501442, 28421924, 28421924, 28421924, 28421924, 28421924, 28421924, 28421924, 28418788, 28418788, 28418788, 28418788, 28418788, 28418788, 28418788, 28418788, 28418788, 28418788]",0,0,0
0,5,meta-llama/Llama-3.1-8B,3,190,1604829891,8033324116,6428494225,20705782,49168049,34297452,"[25051943, 25061799, 25061799, 25061799, 25061799, 25061799, 25061799, 26779056, 25339920, 25354128, 31347686, 25221007, 25221007, 25221007, 25221007, 91664990, 25511716, 25511716, 25511716, 25511716, 25511716, 25511716, 25511716, 25511716, 25511716, 25511716, 39558171, 25739209, 25739209, 25739209, 25739209, 25739209, 25739209, 27606866, 210302916, 31216492, 74835607, 32100478, 212507276, 90461887, 30595009, 27217844, 27217844, 188342287, 41493343, 56459222, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 30768205, 28271816, 28271816, 28107517, 27761139, 27761139, 27761139, 27761139, 27761139, 27761139, 27761139, 27761139, 30589258, 28107517, 28107517, 28107517, 28107517, 28107517, 30000614, 62272969, 28421924, 28193277, 202088401, 133758259, 28863169, 28863169, 31789391, 31836662, 29746020, 29746020, 33588864, 31714284, 29995136, 29995136, 54546487, 30103263, 33291602, 30353917, 30294699, 30294699, 30294699, 30294699, 30294699, 30103263, 30103263, 30103263, 30103263, 30103263, 30103263, 30103263, 29995136, 29995136, 29995136, 29995136, 29995136, 29995136, 29995136, 29815577, 29815577, 29815577, 29815577, 29815577, 29815577, 29815577, 29815577, 29746020, 29498239, 28863169, 28863169, 28863169, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28501442, 28501442, 28421924, 28421924, 28421924, 28421924, 28421924, 28421924, 28421924, 28418788, 28418788, 28418788, 28418788, 28418788, 28418788, 28418788, 28418788, 28418788, 28418788, 28192605, 28192605, 28192605, 28192605, 28192605]",0,0,0
0,35,meta-llama/Llama-3.1-8B,7,142,4336021694,8627013436,4290991742,27731892,57732506,31591486,"[62272969, 28421924, 28193277, 202088401, 133758259, 28863169, 28863169, 31789391, 31836662, 29746020, 29746020, 33588864, 31714284, 29995136, 29995136, 54546487, 30103263, 33291602, 30353917, 30294699, 30294699, 30294699, 30294699, 30294699, 30103263, 30103263, 30103263, 30103263, 30103263, 30103263, 30103263, 29995136, 29995136, 29995136, 29995136, 29995136, 29995136, 29995136, 29815577, 29815577, 29815577, 29815577, 29815577, 29815577, 29815577, 29815577, 29746020, 29498239, 28863169, 28863169, 28863169, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28501442, 28501442, 28421924, 28421924, 28421924, 28421924, 28421924, 28421924, 28421924, 28418788, 28418788, 28418788, 28418788, 28418788, 28418788, 28418788, 28418788, 28418788, 28418788, 28192605, 28192605, 28192605, 28192605, 28192605, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920]",0,0,0
0,24,meta-llama/Llama-3.1-8B,266,463,3074623946,9440522437,6365898491,93846759,184308646,31538723,"[30595009, 27217844, 27217844, 188342287, 41493343, 56459222, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 30768205, 28271816, 28271816, 28107517, 27761139, 27761139, 27761139, 27761139, 27761139, 27761139, 27761139, 27761139, 30589258, 28107517, 28107517, 28107517, 28107517, 28107517, 30000614, 62272969, 28421924, 28193277, 202088401, 133758259, 28863169, 28863169, 31789391, 31836662, 29746020, 29746020, 33588864, 31714284, 29995136, 29995136, 54546487, 30103263, 33291602, 30353917, 30294699, 30294699, 30294699, 30294699, 30294699, 30103263, 30103263, 30103263, 30103263, 30103263, 30103263, 30103263, 29995136, 29995136, 29995136, 29995136, 29995136, 29995136, 29995136, 29815577, 29815577, 29815577, 29815577, 29815577, 29815577, 29815577, 29815577, 29746020, 29498239, 28863169, 28863169, 28863169, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28501442, 28501442, 28421924, 28421924, 28421924, 28421924, 28421924, 28421924, 28421924, 28418788, 28418788, 28418788, 28418788, 28418788, 28418788, 28418788, 28418788, 28418788, 28418788, 28192605, 28192605, 28192605, 28192605, 28192605, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28113789, 28113789, 28113789, 28113789, 28113789, 28113789, 28113789, 28113789, 28113789, 28113789, 28113789, 28113789, 28113789, 28113789, 28113789, 28113789, 27976029, 27976029, 27976029, 27976029, 27976029, 27976029, 27976029, 27976029, 27976029, 27976029, 27976029, 27976029, 27976029]",0,0,0
0,20,meta-llama/Llama-3.1-8B,54,262,2918527754,9689296144,6770768390,5335197,37435675,32528177,"[212507276, 90461887, 30595009, 27217844, 27217844, 188342287, 41493343, 56459222, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 28107517, 30768205, 28271816, 28271816, 28107517, 27761139, 27761139, 27761139, 27761139, 27761139, 27761139, 27761139, 27761139, 30589258, 28107517, 28107517, 28107517, 28107517, 28107517, 30000614, 62272969, 28421924, 28193277, 202088401, 133758259, 28863169, 28863169, 31789391, 31836662, 29746020, 29746020, 33588864, 31714284, 29995136, 29995136, 54546487, 30103263, 33291602, 30353917, 30294699, 30294699, 30294699, 30294699, 30294699, 30103263, 30103263, 30103263, 30103263, 30103263, 30103263, 30103263, 29995136, 29995136, 29995136, 29995136, 29995136, 29995136, 29995136, 29815577, 29815577, 29815577, 29815577, 29815577, 29815577, 29815577, 29815577, 29746020, 29498239, 28863169, 28863169, 28863169, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28875138, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28680303, 28501442, 28501442, 28421924, 28421924, 28421924, 28421924, 28421924, 28421924, 28421924, 28418788, 28418788, 28418788, 28418788, 28418788, 28418788, 28418788, 28418788, 28418788, 28418788, 28192605, 28192605, 28192605, 28192605, 28192605, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28270920, 28113789, 28113789, 28113789, 28113789, 28113789, 28113789, 28113789, 28113789, 28113789, 28113789, 28113789, 28113789, 28113789, 28113789, 28113789, 28113789, 27976029, 27976029, 27976029, 27976029, 27976029, 27976029, 27976029, 27976029, 27976029, 27976029, 27976029, 27976029, 27976029, 27641523, 27641523, 27641523, 27641523, 27641523, 27641523, 27641523, 27641523, 27641523]",0,0,0
