accelerator,model,tier,policy,workload,cluster_config,dataset,returncode,status,output_dir,result_csv,timeseries_csv,tier_stats_json,stdout_log,evicpress_alpha,evicpress_ratios,harp_grace_candidates,harp_ratios,harp_lambda_stall,harp_lambda_quality,harp_lambda_fairness,harp_fairness_epsilon,harp_compression_profile,harp_compression_trace
A6000,llama8b,cpu_dram,dynmax,sharegpt_1500,output/tiered_kv/model_tier_policy_matrix/_generated_cluster_configs/llama8b__cpu_dram__A6000.json,dataset/sharegpt_req1500_rate10_llama.jsonl,0,ok,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/dynmax/sharegpt_1500,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/dynmax/sharegpt_1500/result.csv,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/dynmax/sharegpt_1500/timeseries.csv,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/dynmax/sharegpt_1500/result_tier_stats.json,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/llama8b/cpu_dram/dynmax/sharegpt_1500/output.txt,1.0,"1.0,0.75,0.5,0.25","16,32,64","1.0,0.75,0.5,0.25",1.0,0.5,0.1,1e-06,balanced,
A6000,phi_moe,cpu_dram,dynmax,sharegpt_1500,output/tiered_kv/model_tier_policy_matrix/_generated_cluster_configs/phi_moe__cpu_dram__A6000.json,dataset/sharegpt_req1500_rate10_phi.jsonl,1,failed,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/phi_moe/cpu_dram/dynmax/sharegpt_1500,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/phi_moe/cpu_dram/dynmax/sharegpt_1500/result.csv,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/phi_moe/cpu_dram/dynmax/sharegpt_1500/timeseries.csv,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/phi_moe/cpu_dram/dynmax/sharegpt_1500/result_tier_stats.json,/home/marvell/LLMServingSim/output/tiered_kv/model_tier_policy_matrix/A6000/phi_moe/cpu_dram/dynmax/sharegpt_1500/output.txt,1.0,"1.0,0.75,0.5,0.25","16,32,64","1.0,0.75,0.5,0.25",1.0,0.5,0.1,1e-06,balanced,
