instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL,npu_cache_hit,storage_cache_hit,prefix_cache_hit,tier_reload_source,evict_npu_to_cpu_bytes,evict_npu_to_cxl_bytes,load_cpu_to_npu_bytes,load_cxl_to_npu_bytes,tier_transition_bytes_total
0,8,meta-llama/Llama-3.1-8B,12,52,903845068,2265807736,1361962668,11293650,38635921,33931455,"[25221274, 25221274, 25221274, 25221274, 27748146, 25739486, 25739486, 25739486, 25739486, 25739486, 25739486, 25739486, 25739486, 25739486, 25739486, 25739486, 25739486, 28808832, 25776272, 25776272, 25776272, 25776272, 25776272, 25776272, 29496582, 27555404, 69717978, 96123413, 51256885, 32012743, 26675277, 26675277, 28558674, 70229042, 118043521, 42936682, 27088051, 27088051, 28895629]",0,0,0,NPU,0,0,0,0,0
0,11,meta-llama/Llama-3.1-8B,31,68,1379405751,2784949292,1405543541,582312,29391144,38226455,"[25776272, 25776272, 25776272, 25776272, 25776272, 25776272, 29496582, 27555404, 69717978, 96123413, 51256885, 32012743, 26675277, 26675277, 28558674, 70229042, 118043521, 42936682, 27088051, 27088051, 28895629, 51476100, 27218200, 30751195, 27276468, 27276468, 30497428, 27680923, 27680923, 30572150, 98152021, 28111936, 28111936, 28111936, 28111936, 28111936]",0,0,0,NPU,0,0,0,0,0
0,25,meta-llama/Llama-3.1-8B,4,28,2228417547,3013993380,785575833,8494560,37390189,32529810,"[51476100, 27218200, 30751195, 27276468, 27276468, 30497428, 27680923, 27680923, 30572150, 98152021, 28111936, 28111936, 28111936, 28111936, 28111936, 27763985, 27763985, 32956438, 28111936, 28111936, 28111936, 28111936, 28111936]",0,0,0,NPU,0,0,0,0,0
0,35,meta-llama/Llama-3.1-8B,1,10,3336021694,3824596204,488574510,45993997,88561496,50001626,"[33481036, 28417079, 28417079, 192591744, 31063928, 28680716, 28680716, 28680716]",0,0,0,NPU,0,0,0,0,0
0,28,meta-llama/Llama-3.1-8B,7,43,2412644520,3881599904,1468955384,17161647,47659075,40608465,"[27680923, 27680923, 30572150, 98152021, 28111936, 28111936, 28111936, 28111936, 28111936, 27763985, 27763985, 32956438, 28111936, 28111936, 28111936, 28111936, 28111936, 27763985, 27763985, 27763985, 27763985, 27763985, 27763985, 201438401, 42567499, 33481036, 28417079, 28417079, 192591744, 31063928, 28680716, 28680716, 28680716, 28501850, 28501850]",0,0,0,NPU,0,0,0,0,0
0,1,meta-llama/Llama-3.1-8B,19,138,347938951,4413072559,4065133608,13322253,40156190,34109978,"[24481019, 24481019, 24481019, 24481019, 29952184, 24432469, 24432469, 24432469, 93688022, 27176092, 25062055, 25062055, 25062055, 25062055, 25062055, 28986743, 25354389, 25354389, 27342271, 25221274, 25221274, 25221274, 25221274, 27748146, 25739486, 25739486, 25739486, 25739486, 25739486, 25739486, 25739486, 25739486, 25739486, 25739486, 25739486, 25739486, 28808832, 25776272, 25776272, 25776272, 25776272, 25776272, 25776272, 29496582, 27555404, 69717978, 96123413, 51256885, 32012743, 26675277, 26675277, 28558674, 70229042, 118043521, 42936682, 27088051, 27088051, 28895629, 51476100, 27218200, 30751195, 27276468, 27276468, 30497428, 27680923, 27680923, 30572150, 98152021, 28111936, 28111936, 28111936, 28111936, 28111936, 27763985, 27763985, 32956438, 28111936, 28111936, 28111936, 28111936, 28111936, 27763985, 27763985, 27763985, 27763985, 27763985, 27763985, 201438401, 42567499, 33481036, 28417079, 28417079, 192591744, 31063928, 28680716, 28680716, 28680716, 28501850, 28501850, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 25830947, 25442238, 25442238]",0,0,0,NPU,0,0,0,0,0
0,6,meta-llama/Llama-3.1-8B,21,134,610813767,4578722921,3967909154,72143063,99319155,34540982,"[25062055, 25062055, 25062055, 25062055, 25062055, 28986743, 25354389, 25354389, 27342271, 25221274, 25221274, 25221274, 25221274, 27748146, 25739486, 25739486, 25739486, 25739486, 25739486, 25739486, 25739486, 25739486, 25739486, 25739486, 25739486, 25739486, 28808832, 25776272, 25776272, 25776272, 25776272, 25776272, 25776272, 29496582, 27555404, 69717978, 96123413, 51256885, 32012743, 26675277, 26675277, 28558674, 70229042, 118043521, 42936682, 27088051, 27088051, 28895629, 51476100, 27218200, 30751195, 27276468, 27276468, 30497428, 27680923, 27680923, 30572150, 98152021, 28111936, 28111936, 28111936, 28111936, 28111936, 27763985, 27763985, 32956438, 28111936, 28111936, 28111936, 28111936, 28111936, 27763985, 27763985, 27763985, 27763985, 27763985, 27763985, 201438401, 42567499, 33481036, 28417079, 28417079, 192591744, 31063928, 28680716, 28680716, 28680716, 28501850, 28501850, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 25830947, 79078151, 28193675, 28193675, 28193675, 26360054, 26515608]",0,0,0,NPU,0,0,0,0,0
0,2,meta-llama/Llama-3.1-8B,91,216,479613520,4717184943,4237571423,6405697,36357881,33880754,"[24432469, 24432469, 24432469, 93688022, 27176092, 25062055, 25062055, 25062055, 25062055, 25062055, 28986743, 25354389, 25354389, 27342271, 25221274, 25221274, 25221274, 25221274, 27748146, 25739486, 25739486, 25739486, 25739486, 25739486, 25739486, 25739486, 25739486, 25739486, 25739486, 25739486, 25739486, 28808832, 25776272, 25776272, 25776272, 25776272, 25776272, 25776272, 29496582, 27555404, 69717978, 96123413, 51256885, 32012743, 26675277, 26675277, 28558674, 70229042, 118043521, 42936682, 27088051, 27088051, 28895629, 51476100, 27218200, 30751195, 27276468, 27276468, 30497428, 27680923, 27680923, 30572150, 98152021, 28111936, 28111936, 28111936, 28111936, 28111936, 27763985, 27763985, 32956438, 28111936, 28111936, 28111936, 28111936, 28111936, 27763985, 27763985, 27763985, 27763985, 27763985, 27763985, 201438401, 42567499, 33481036, 28417079, 28417079, 192591744, 31063928, 28680716, 28680716, 28680716, 28501850, 28501850, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 25830947, 25442238, 25442238, 28193675, 28193675, 28193675, 28193675, 26360054, 26515608, 28272208, 28272208, 28272208, 26822699, 26822699]",0,0,0,NPU,0,0,0,0,0
0,26,meta-llama/Llama-3.1-8B,192,275,2250691133,5212260107,2961568974,15116603,66592703,35304588,"[27218200, 30751195, 27276468, 27276468, 30497428, 27680923, 27680923, 30572150, 98152021, 28111936, 28111936, 28111936, 28111936, 28111936, 27763985, 27763985, 32956438, 28111936, 28111936, 28111936, 28111936, 28111936, 27763985, 27763985, 27763985, 27763985, 27763985, 27763985, 201438401, 42567499, 33481036, 28417079, 28417079, 192591744, 31063928, 28680716, 28680716, 28680716, 28501850, 28501850, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 104909098, 28193675, 28193675, 28193675, 81147870, 28272208, 28272208, 26822699, 26822699, 28107904, 28107904, 28107904, 28107904, 28107904, 26822699, 26822699, 55375826, 27279380, 27279380, 27279380, 27279380, 27279380, 27279380, 27279380, 27279380, 27279380]",0,0,0,NPU,0,0,0,0,0
0,24,meta-llama/Llama-3.1-8B,161,286,2074623946,6246709179,4172085233,65175377,108112059,32773977,"[27088051, 27088051, 28895629, 51476100, 27218200, 30751195, 27276468, 27276468, 30497428, 27680923, 27680923, 30572150, 98152021, 28111936, 28111936, 28111936, 28111936, 28111936, 27763985, 27763985, 32956438, 28111936, 28111936, 28111936, 28111936, 28111936, 27763985, 27763985, 27763985, 27763985, 27763985, 27763985, 201438401, 42567499, 33481036, 28417079, 28417079, 192591744, 31063928, 28680716, 28680716, 28680716, 28501850, 28501850, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 104909098, 28193675, 28193675, 28193675, 81147870, 28272208, 28272208, 26822699, 26822699, 28107904, 28107904, 28107904, 28107904, 28107904, 26822699, 26822699, 55375826, 27279380, 27279380, 27279380, 27279380, 27279380, 27279380, 27279380, 27279380, 27279380, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27232760, 27232760, 27232760, 27232760, 27232760, 27232760, 27232760]",0,0,0,NPU,0,0,0,0,0
0,27,meta-llama/Llama-3.1-8B,34,158,2322894048,6436432160,4113538112,21607988,52359183,33017714,"[27276468, 27276468, 30497428, 27680923, 27680923, 30572150, 98152021, 28111936, 28111936, 28111936, 28111936, 28111936, 27763985, 27763985, 32956438, 28111936, 28111936, 28111936, 28111936, 28111936, 27763985, 27763985, 27763985, 27763985, 27763985, 27763985, 201438401, 42567499, 33481036, 28417079, 28417079, 192591744, 31063928, 28680716, 28680716, 28680716, 28501850, 28501850, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 28422327, 104909098, 28193675, 28193675, 28193675, 81147870, 28272208, 28272208, 81753302, 28107904, 28107904, 28107904, 28107904, 26822699, 26822699, 55375826, 27279380, 27279380, 27279380, 27279380, 27279380, 27279380, 27279380, 27279380, 27279380, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27219992, 27232760, 27232760, 27232760, 27232760, 27232760, 27232760, 27232760, 27103283, 27103283, 27103283, 27103283, 27103283, 27103283, 27103283]",0,0,0,NPU,0,0,0,0,0
