tier,workload,baseline_policy,compare_policy,tail_mean_ttft_ms,evicpress_mean_ttft_ms,delta_mean_ttft_ms,delta_pct_mean_ttft_ms,tail_mean_tpot_ms,evicpress_mean_tpot_ms,delta_mean_tpot_ms,delta_pct_mean_tpot_ms,tail_mean_latency_ms,evicpress_mean_latency_ms,delta_mean_latency_ms,delta_pct_mean_latency_ms,tail_p99_ttft_ms,evicpress_p99_ttft_ms,delta_p99_ttft_ms,delta_pct_p99_ttft_ms,tail_p99_tpot_ms,evicpress_p99_tpot_ms,delta_p99_tpot_ms,delta_pct_p99_tpot_ms,tail_tier_transition_mb_total,evicpress_tier_transition_mb_total,delta_tier_transition_mb_total,delta_pct_tier_transition_mb_total,harp_mean_ttft_ms,harp_mean_tpot_ms,harp_mean_latency_ms,harp_p99_ttft_ms,harp_p99_tpot_ms,harp_tier_transition_mb_total,largest_kv_mean_ttft_ms,largest_kv_mean_tpot_ms,largest_kv_mean_latency_ms,largest_kv_p99_ttft_ms,largest_kv_p99_tpot_ms,largest_kv_tier_transition_mb_total,lru_mean_ttft_ms,lru_mean_tpot_ms,lru_mean_latency_ms,lru_p99_ttft_ms,lru_p99_tpot_ms,lru_tier_transition_mb_total,oldest_mean_ttft_ms,oldest_mean_tpot_ms,oldest_mean_latency_ms,oldest_p99_ttft_ms,oldest_p99_tpot_ms,oldest_tier_transition_mb_total,random_mean_ttft_ms,random_mean_tpot_ms,random_mean_latency_ms,random_p99_ttft_ms,random_p99_tpot_ms,random_tier_transition_mb_total,smallest_kv_mean_ttft_ms,smallest_kv_mean_tpot_ms,smallest_kv_mean_latency_ms,smallest_kv_p99_ttft_ms,smallest_kv_p99_tpot_ms,smallest_kv_tier_transition_mb_total
cxl,sharegpt_1000,tail,evicpress,234264.64686477397,319463.13773592294,85198.49087114897,36.368479841659,57.07588473399999,86.878952198,29.803067464,52.216566774034376,247342.00870021599,338121.17383534997,90779.16513513398,36.7018791559829,495135.83501781,669193.12974298,174057.29472517,35.15344324025935,175.72214223999995,469.21192067999993,293.48977844,167.01923542404458,43704.0,22744.0,-20960.0,-47.95899688815669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cxl,sharegpt_1000,tail,harp,234264.64686477397,,-118363.10997932598,-50.525382964698665,57.07588473399999,,-11.027487689999994,-19.320747705257983,247342.00870021599,,-119600.56428735098,-48.354327239377085,495135.83501781,,-249186.05084551,-50.326805943372456,175.72214223999995,,-82.30767528999999,-46.83967213282934,43704.0,,2242.0,5.129965220574776,115901.53688544799,46.048397044,127741.444412865,245949.7841723,93.41446694999996,45946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cxl,sharegpt_1000,tail,largest_kv,234264.64686477397,,59228.68115256503,25.282808116904626,57.07588473399999,,20.220351341000004,35.427136057962464,247342.00870021599,,64082.317589224986,25.90838407352557,495135.83501781,,159862.30712968996,32.28655569313413,175.72214223999995,,131.74826517,74.97533520281083,43704.0,,94064.0,215.2297272560864,,,,,,,293493.328017339,77.296236075,311424.32628944097,654998.1421475,307.47040740999995,137768.0,,,,,,,,,,,,,,,,,,,,,,,,
cxl,sharegpt_1000,tail,lru,234264.64686477397,,98620.04310463401,42.09770634386889,57.07588473399999,,26.231042694000003,45.95818849983454,247342.00870021599,,104381.56887502005,42.201310413684254,495135.83501781,,198661.54814343993,40.122635869466826,175.72214223999995,,171.66887742999992,97.69336706329011,43704.0,,5140.0,11.76093721398499,,,,,,,,,,,,,332884.689969408,83.306927428,351723.57757523604,693797.3831612499,347.3910196699999,48844.0,,,,,,,,,,,,,,,,,,
cxl,sharegpt_1000,tail,oldest,234264.64686477397,,589508.733400541,251.64220947978836,57.07588473399999,,174.24697694699998,305.29001479183626,247342.00870021599,,628927.132431885,254.27428835760713,495135.83501781,,1368197.1923454897,276.32764497772126,175.72214223999995,,982.5682998699996,559.1602101731809,43704.0,,67492.0,154.42980047592897,,,,,,,,,,,,,,,,,,,823773.380265315,231.32286168099998,876269.141132101,1863333.0273632999,1158.2904421099995,111196.0,,,,,,,,,,,,
cxl,sharegpt_1000,tail,random,234264.64686477397,,97096.947605797,41.44754614290772,57.07588473399999,,23.974414501000005,42.00445531897028,247342.00870021599,,102846.71375786499,41.58077081136569,495135.83501781,,194743.87567275006,39.33140401072872,175.72214223999995,,124.74152474999997,70.98793763829087,43704.0,,11576.0,26.48727805235219,,,,,,,,,,,,,,,,,,,,,,,,,331361.59447057097,81.050299235,350188.72245808097,689879.71069056,300.4636669899999,55280.0,,,,,,
cxl,sharegpt_1000,tail,smallest_kv,234264.64686477397,,90747.422055896,38.73713907343377,57.07588473399999,,30.584132337999996,53.58503417079944,247342.00870021599,,97774.708564401,39.53016678331666,495135.83501781,,203430.33399443992,41.0857626548324,175.72214223999995,,156.0757954499999,88.81965212832016,43704.0,,-20224.0,-46.274940508877904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325012.06892066996,87.66001707199999,345116.717264617,698566.1690122499,331.79793768999986,23480.0
ethernet,sharegpt_1000,tail,evicpress,241148.527103109,319463.13773592294,78314.61063281394,32.47567446237339,58.346212992,86.878952198,28.532739205999995,48.90246983109631,254535.963709093,338121.17383534997,83585.21012625698,32.838271224331116,510065.31733780995,669193.12974298,159127.81240517006,31.19753627549267,178.91215353999996,469.21192067999993,290.29976714,162.258271110183,43704.0,22744.0,-20960.0,-47.95899688815669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethernet,sharegpt_1000,tail,harp,241148.527103109,,-121661.227194208,-50.45074446678613,58.346212992,,-11.174669549999997,-19.152347645137116,254535.963709093,,-122932.76243668399,-48.29681458184149,510065.31733780995,,-256363.47346850997,-50.260910662687465,178.91215353999996,,-82.18224303999999,-45.93441049918738,43704.0,,2242.0,5.129965220574776,119487.299908901,47.171543442,131603.201272409,253701.84386929998,96.72991049999997,45946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethernet,sharegpt_1000,tail,largest_kv,241148.527103109,,73400.25501356204,30.437778698178803,58.346212992,,23.883490678999998,40.934088870985896,254535.963709093,,79047.78121709701,31.055643401118772,510065.31733780995,,190813.44619836996,37.40961004647108,178.91215353999996,,143.51742301999997,80.21669863132765,43704.0,,94064.0,215.2297272560864,,,,,,,314548.78211667103,82.229703671,333583.74492619,700878.7635361799,322.42957655999993,137768.0,,,,,,,,,,,,,,,,,,,,,,,,
ethernet,sharegpt_1000,tail,lru,241148.527103109,,99332.116795776,41.191260004380666,58.346212992,,26.735023174,45.82135121205845,254535.963709093,,105176.62082634697,41.320927421695295,510065.31733780995,,200391.71355444007,39.287461182490695,178.91215353999996,,177.51866525999992,99.22113268862503,43704.0,,5140.0,11.76093721398499,,,,,,,,,,,,,340480.643898885,85.081236166,359712.58453543996,710457.03089225,356.4308187999999,48844.0,,,,,,,,,,,,,,,,,,
ethernet,sharegpt_1000,tail,oldest,241148.527103109,,599551.294271115,248.6232453805376,58.346212992,,177.461027079,304.15174863762303,254535.963709093,,639647.338682069,251.29939571647978,510065.31733780995,,1390684.7468664902,272.64836474765775,178.91215353999996,,1004.3812106199998,561.3823268833702,43704.0,,67492.0,154.42980047592897,,,,,,,,,,,,,,,,,,,840699.8213742239,235.807240071,894183.3023911619,1900750.0642043,1183.2933641599998,111196.0,,,,,,,,,,,,
ethernet,sharegpt_1000,tail,random,241148.527103109,,133725.72193506098,55.453675600466454,58.346212992,,46.52783379700001,79.74439369934696,254535.963709093,,141914.735684958,55.754296413355235,510065.31733780995,,266792.95255944005,52.30564468721687,178.91215353999996,,282.00846348999994,157.62398356406257,43704.0,,8756.0,20.034779425224237,,,,,,,,,,,,,,,,,,,,,,,,,374874.24903817,104.874046789,396450.699394051,776858.26989725,460.9206170299999,52460.0,,,,,,
ethernet,sharegpt_1000,tail,smallest_kv,241148.527103109,,87804.29512692202,36.41087763699221,58.346212992,,30.17675203599999,51.720155411179135,254535.963709093,,94731.45652667497,37.21731701337998,510065.31733780995,,197058.73211544007,38.634019098563904,178.91215353999996,,154.54829216999985,86.38222116947857,43704.0,,-20224.0,-46.274940508877904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328952.822230031,88.52296502799999,349267.42023576796,707124.04945325,333.4604457099998,23480.0
pcie_nvme,sharegpt_1000,tail,evicpress,237465.389955052,319463.13773592294,81997.74778087094,34.53039948111666,57.66359117,86.878952198,29.215361027999997,50.66517786217857,250686.608137557,338121.17383534997,87434.56569779298,34.8780361054691,502077.54145981,669193.12974298,167115.58828317001,33.28481648417791,177.17548883999993,469.21192067999993,292.03643184,164.8289127079685,43704.0,22744.0,-20960.0,-47.95899688815669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pcie_nvme,sharegpt_1000,tail,harp,237465.389955052,,-119880.63946477901,-50.48341549371481,57.66359117,,-11.088863611999997,-19.230268852504416,250686.608137557,,-121132.60198411199,-48.320332260287316,502077.54145981,,-252491.74638851002,-50.28939268113456,177.17548883999993,,-82.29588317999995,-46.44879701972661,43704.0,,2242.0,5.129965220574776,117584.75049027299,46.574727558,129554.006153445,249585.79507129997,94.87960565999998,45946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
