instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL,npu_cache_hit,storage_cache_hit,prefix_cache_hit,tier_reload_source,evict_npu_to_cpu_bytes,evict_npu_to_cxl_bytes,load_cpu_to_npu_bytes,load_cxl_to_npu_bytes,evict_raw_bytes,evict_stored_bytes,evict_compression_ratio,tier_transition_bytes_total
0,2,meta-llama/Llama-3.1-8B,10,26,100000000,515356177,415356177,455362,26991121,25891003,"[24432469, 26753155, 24699743, 26480372, 24557589, 26942032, 25032766, 26754409, 25052199, 26935464, 25340181, 27328063, 25210746, 27349112, 25496756]",0,0,0,NPU,0,0,0,0,0,0,1.0,0
0,7,meta-llama/Llama-3.1-8B,5,17,350000000,678240620,328240620,7695855,34631319,26691754,"[25340181, 27328063, 25210746, 27349112, 25496756, 27309334, 25496756, 27289072, 25722686, 29574691, 27491904]",0,0,0,NPU,0,0,0,0,0,0,1.0,0
0,0,meta-llama/Llama-3.1-8B,11,43,0,840553245,840553245,1,25960030,26277200,"[24018078, 24018078, 26459176, 26535759, 24432469, 26753155, 24699743, 26480372, 24557589, 26942032, 25032766, 26754409, 25052199, 26935464, 25340181, 27328063, 25210746, 27349112, 25496756, 27309334, 25496756, 27289072, 25722686, 29574691, 27491904, 25760144, 27605215, 25600790, 29454496, 25802499, 28089481]",0,0,0,NPU,0,0,0,0,0,0,1.0,0
0,4,meta-llama/Llama-3.1-8B,9,33,200000000,840553245,640553245,2876488,29356860,26573755,"[24557589, 26942032, 25032766, 26754409, 25052199, 26935464, 25340181, 27328063, 25210746, 27349112, 25496756, 27309334, 25496756, 27289072, 25722686, 29574691, 27491904, 25760144, 27605215, 25600790, 29454496, 25802499, 28089481]",0,0,0,NPU,0,0,0,0,0,0,1.0,0
0,6,meta-llama/Llama-3.1-8B,7,27,300000000,840553245,540553245,5889247,32643656,26732083,"[25052199, 26935464, 25340181, 27328063, 25210746, 27349112, 25496756, 27309334, 25496756, 27289072, 25722686, 29574691, 27491904, 25760144, 27605215, 25600790, 29454496, 25802499, 28089481]",0,0,0,NPU,0,0,0,0,0,0,1.0,0
0,9,meta-llama/Llama-3.1-8B,11,29,450000000,946929943,496929943,12510309,39859421,26886501,"[25496756, 27309334, 25496756, 27289072, 25722686, 29574691, 27491904, 25760144, 27605215, 25600790, 29454496, 25802499, 28089481, 25760144, 27492273, 25600790, 27523491]",0,0,0,NPU,0,0,0,0,0,0,1.0,0
0,14,meta-llama/Llama-3.1-8B,8,22,700000000,1077488213,377488213,4000764,31605979,26606325,"[25600790, 29454496, 25802499, 28089481, 25760144, 27492273, 25600790, 27523491, 25600790, 27549983, 25802499, 25802499, 25802499]",0,0,0,NPU,0,0,0,0,0,0,1.0,0
0,10,meta-llama/Llama-3.1-8B,10,32,500000000,1103089003,603089003,15356177,42665511,26686832,"[25496756, 27289072, 25722686, 29574691, 27491904, 25760144, 27605215, 25600790, 29454496, 25802499, 28089481, 25760144, 27492273, 25600790, 27523491, 25600790, 27549983, 25802499, 25802499, 25802499, 25600790]",0,0,0,NPU,0,0,0,0,0,0,1.0,0
0,8,meta-llama/Llama-3.1-8B,12,40,400000000,1154609291,754609291,9971500,37299563,26567026,"[25210746, 27349112, 25496756, 27309334, 25496756, 27289072, 25722686, 29574691, 27491904, 25760144, 27605215, 25600790, 29454496, 25802499, 28089481, 25760144, 27492273, 25600790, 27523491, 25600790, 27549983, 25802499, 25802499, 25802499, 25600790, 25760144, 25760144]",0,0,0,NPU,0,0,0,0,0,0,1.0,0
0,11,meta-llama/Llama-3.1-8B,8,30,550000000,1154609291,604609291,18162267,45451339,26626569,"[25722686, 29574691, 27491904, 25760144, 27605215, 25600790, 29454496, 25802499, 28089481, 25760144, 27492273, 25600790, 27523491, 25600790, 27549983, 25802499, 25802499, 25802499, 25600790, 25760144, 25760144]",0,0,0,NPU,0,0,0,0,0,0,1.0,0
0,17,meta-llama/Llama-3.1-8B,5,21,850000000,1282093071,432093071,16313389,43805662,25885827,"[25600790, 27523491, 25600790, 27549983, 25802499, 25802499, 25802499, 25600790, 25760144, 25760144, 25496756, 25496756, 25496756, 25496756, 25496756]",0,0,0,NPU,0,0,0,0,0,0,1.0,0
0,5,meta-llama/Llama-3.1-8B,11,51,250000000,1307303817,1057303817,3914449,30856481,26319162,"[25032766, 26754409, 25052199, 26935464, 25340181, 27328063, 25210746, 27349112, 25496756, 27309334, 25496756, 27289072, 25722686, 29574691, 27491904, 25760144, 27605215, 25600790, 29454496, 25802499, 28089481, 25760144, 27492273, 25600790, 27523491, 25600790, 27549983, 25802499, 25802499, 25802499, 25600790, 25760144, 25760144, 25496756, 25496756, 25496756, 25496756, 25496756, 25210746]",0,0,0,NPU,0,0,0,0,0,0,1.0,0
0,1,meta-llama/Llama-3.1-8B,12,60,50000000,1332643998,1282643998,23996186,50455362,26216779,"[26535759, 24432469, 26753155, 24699743, 26480372, 24557589, 26942032, 25032766, 26754409, 25052199, 26935464, 25340181, 27328063, 25210746, 27349112, 25496756, 27309334, 25496756, 27289072, 25722686, 29574691, 27491904, 25760144, 27605215, 25600790, 29454496, 25802499, 28089481, 25760144, 27492273, 25600790, 27523491, 25600790, 27549983, 25802499, 25802499, 25802499, 25600790, 25760144, 25760144, 25496756, 25496756, 25496756, 25496756, 25496756, 25210746, 25340181]",0,0,0,NPU,0,0,0,0,0,0,1.0,0
