backend,config,workload,returncode,status,output_dir,result_csv,tier_stats_json,stdout_log
analytical,npu_cpu,sharegpt_100,0,dry_run,/home/marvell/LLMServingSim/output/tiered_kv/backend_diff/analytical/npu_cpu/sharegpt_100,/home/marvell/LLMServingSim/output/tiered_kv/backend_diff/analytical/npu_cpu/sharegpt_100/result.csv,/home/marvell/LLMServingSim/output/tiered_kv/backend_diff/analytical/npu_cpu/sharegpt_100/result_tier_stats.json,/home/marvell/LLMServingSim/output/tiered_kv/backend_diff/analytical/npu_cpu/sharegpt_100/output.txt
ns3,npu_cpu,sharegpt_100,0,dry_run,/home/marvell/LLMServingSim/output/tiered_kv/backend_diff/ns3/npu_cpu/sharegpt_100,/home/marvell/LLMServingSim/output/tiered_kv/backend_diff/ns3/npu_cpu/sharegpt_100/result.csv,/home/marvell/LLMServingSim/output/tiered_kv/backend_diff/ns3/npu_cpu/sharegpt_100/result_tier_stats.json,/home/marvell/LLMServingSim/output/tiered_kv/backend_diff/ns3/npu_cpu/sharegpt_100/output.txt
